Terim,Frekans
ehemmiyetli,0.0
ehemmiyetsiz,0.0
ehil,0.0
ehliyetli,0.0
ehliyetsiz,0.0
eksiksiz ürün,0.0
eksperyans,0.0
eksper,0.0
ekşimsi,0.0
ekşimtırak,0.0
elverişli,0.0
elverişsiz,0.0
elzem,0.0
enfes,0.0
erbap,0.0
erdemli,0.0
erişeme,0.0
erişm,0.0
eskimiş,0.0
eski,0.0
extra,0.0
ezbere,0.0
ezilmiş,0.0
fahiş,0.0
fazlalık,0.0
felç geç,0.0
fenalık,0.0
ferahlatıcı,0.0
fevkalade,0.0
feyk,0.0
fıstık lahmacun,0.0
fiyat artış,0.0
fiyat indirim,0.0
fos,0.0
fuzuli,0.0
gafil,0.0
gayrimuntazam,0.0
geçimsiz,0.0
gedikli,0.0
gelişigüzel,0.0
gereç,0.0
gevele,0.0
gidici,0.0
gömemem,0.0
görmüş geçirmiş,0.0
gösterişsiz,0.0
göverti,0.0
gözü dön,0.0
gözüne sok,0.0
gurursuz,0.0
gübür,0.0
güç bela,0.0
güçlükle,0.0
güçlük,0.0
gül gübür,0.0
güvenilen,0.0
güvenilmeyen,0.0
güverti,0.0
güzide,0.0
habis,0.0
hadi hayırlısı,0.0
hakikat,0.0
hakiki,0.0
hakkaniyet,0.0
hala gelm,0.0
ham,0.0
handikap,0.0
hara güre,0.0
harada gürede,0.0
haragüre,0.0
harikulade,0.0
harmoni,0.0
hatasız,0.0
havai,0.0
havali,0.0
haydi hayırlı,0.0
hayırsız,0.0
haysiyet,0.0
haz dolu,0.0
haz verici,0.0
kefalet,0.0
kendiliğinden,0.0
kepaze,0.0
keskin,0.0
kıdemli,0.0
kıkırdak,0.0
kılıksız,0.0
kınam,0.0
kısır döngü,0.0
kışkırt ,0.0
kıymetsiz,0.0
kifayetli,0.0
kipkirli,0.0
kiraz,0.0
kocayürek,0.0
kokuşm,0.0
"komünikasyon, komünükasyon, kominikasyon",0.0
konsantrasyon,0.0
korkutucu,0.0
kornişon,0.0
kördüğüm,0.0
körpe,0.0
kötü fikir,0.0
kötü huylu,0.0
kötümser,0.0
kullanıcı yorum,0.0
kurtlu,0.0
kurumuş,0.0
kurusıkı,0.0
kusurlu,0.0
kuş tüyü,0.0
küfürbaz,0.0
kür,0.0
laçka,0.0
lafı güzaf,0.0
lakayt,0.0
lalettayin,0.0
lalettayn,0.0
lanet edi,0.0
laubali,0.0
lehinde,0.0
lekesiz,0.0
maduriyet,0.0
maharetli,0.0
maharetsiz,0.0
maharet,0.0
mahsurlu,0.0
mahzurlu,0.0
mahzur,0.0
makbuz,0.0
malumatsız,0.0
malzeme eksi,0.0
marifetli,0.0
marijinal,0.0
marjinal,0.0
maskara,0.0
maslahat,0.0
materyal,0.0
mayhoş,0.0
mazaret,0.0
meblağ,0.0
menfi,0.0
mentalite,0.0
merhametsiz,0.0
mersi,0.0
mesken,0.0
mesuliyetsiz,0.0
mesul,0.0
meşguliyet,0.0
meşru,0.0
metot,0.0
mıntıka,0.0
midesi bulan,0.0
miğde bulan,0.0
min fiyat,0.0
min meblağ,0.0
minimum meblağ,0.0
min tutar,0.0
minnacık,0.0
misil,0.0
mönü,0.0
muamelat,0.0
muğlak,0.0
muhabere,0.0
muktedir,0.0
muntazam,0.0
muvaffakiyetsiz,0.0
muzır,0.0
mübalağalı,0.0
mübalağa,0.0
mühimsem,0.0
mükemmel ürün,0.0
sararmış,0.0
sarmısak,0.0
sarsak,0.0
savruk,0.0
selfservis,0.0
semen,0.0
seri dönüş,0.0
serinletici,0.0
servis sıfır,0.0
set card,0.0
setkart,0.0
seviliosun,0.0
seviliyorsun,0.0
sevinç,0.0
sevindirici,0.0
sevk,0.0
sıhhatli,0.0
sıhhatsiz,0.0
sıhhi,0.0
sıkı düzen,0.0
sırnaşık,0.0
sırnaş,0.0
sirkeleş,0.0
sistemsiz,0.0
sonuçsuz,0.0
sopsoğuk,0.0
sosyal sorumlu,0.0
soytarı,0.0
sözün bittiği yer,0.0
steril,0.0
subjektif,0.0
sulanmış,0.0
süprüntü,0.0
süprüz,0.0
süratli dönüş,0.0
süratli,0.0
şaft,0.0
şahane ürün,0.0
şaheser,0.0
şapadanak,0.0
şekerleme,0.0
şeref,0.0
şifalı,0.0
şipşak,0.0
şirret,0.0
tahkir,0.0
tahüt,0.0
tam puan,0.0
tamamiyet,0.0
taptaze,0.0
taraflı,0.0
tasasız,0.0
tasdik,0.0
tastik,0.0
tatlanmış,0.0
tatlanm,0.0
tatlan,0.0
tavassut,0.0
tecrübesiz,0.0
tedahülden kalk,0.0
tedbirsizce,0.0
teehhür,0.0
tehir,0.0
tekdir,0.0
telakki,0.0
tenzilat,0.0
tenzil,0.0
tertemiz,0.0
tertipli,0.0
tertipsiz,0.0
tertip,0.0
teslimat sürec,0.0
tevekkeli,0.0
tıraş,0.0
tırtıl,0.0
bit kadar,0.0
boş köfte,0.0
bozuk salata,0.0
bozulmamış,0.0
bozunmuş,0.0
bulamaç,0.0
buruşturulmuş,0.0
bütünleşm,0.0
bütünlük,0.0
büyülen,0.0
büyüleyici,0.0
büzüşmüş,0.0
cılkı çıkmış,0.0
cıvık,0.0
cıvıma,0.0
cıvıt,0.0
cici,0.0
cisim,0.0
coş,0.0
cüret,0.0
çabuk dön,0.0
çalakalem,0.0
çalpa,0.0
çapraşık,0.0
çarçabuk,0.0
çatışık,0.0
çaylak,0.0
çekilmez,0.0
çekiyo can,0.0
çelişik,0.0
çelişken,0.0
çelişme,0.0
çer çöp,0.0
çeşidi çok,0.0
çeşit az,0.0
çevrim içi,0.0
çıldırasıya,0.0
çok iyi ürün,0.0
çok kızarmış,0.0
dağınbaş,0.0
daha çok,0.0
daimi,0.0
dalavere,0.0
dalevere,0.0
dayanıklı,0.0
dayanıksız,0.0
dejenere,0.0
dekont,0.0
delicesine,0.0
delisi,0.0
deneyimsiz,0.0
devir,0.0
dezavantaj,0.0
dibe çökmüş,0.0
dibine çökmüş,0.0
dirilik,0.0
diri,0.0
diş kovuğu,0.0
dizzo,0.0
doğru nokta,0.0
doğruca,0.0
dolayları,0.0
dumanı üstünde,0.0
duyar yap,0.0
duygulu,0.0
dünya varmış,0.0
dürülmüş,0.0
hazzet,0.0
haz,0.0
hedefsiz,0.0
helal menü,0.0
helal ürün,0.0
hesap pusula,0.0
hevessiz,0.0
hızlı dönüş,0.0
hiddetli,0.0
hileci,0.0
hisli,0.0
hissiz,0.0
hizmet sıfır,0.0
hizmet süper,0.0
homeburger,0.0
hoşgörü,0.0
hoşgörülü,0.0
hoşgörüsüz,0.0
hoyrat,0.0
huysuz,0.0
hünerli,0.0
hünersiz,0.0
hürmetli,0.0
hürmetsiz,0.0
hürmet,0.0
iade talebi,0.0
içi boş,0.0
içinden gel,0.0
içimden gel,0.0
içli,0.0
iddiasız,0.0
iğneli,0.0
iğrenti,0.0
ihtimam,0.0
ihtiyatsız,0.0
iki kişilik,0.0
iki ölçü,0.0
ikiyüzlü,0.0
ileri tarih,0.0
iletişim problem,0.0
iletişim sorunu,0.0
inatçı,0.0
inisiyatif,0.0
inkisar,0.0
insaf artık,0.0
insafınız kurusun,0.0
insafsız,0.0
insaniyet,0.0
intizamlı,0.0
intizamsız,0.0
irite,0.0
irrite,0.0
irsal,0.0
ishal,0.0
iskonto,0.0
isteksiz,0.0
istemsiz,0.0
işletim ücret,0.0
italyan lezzet,0.0
italyanpizza,0.0
itap,0.0
itham,0.0
itimat,0.0
itinalı,0.0
itinasız,0.0
itina,0.0
ivedilikle,0.0
iyimser,0.0
izan,0.0
izzetinefis,0.0
izzet,0.0
kabadayı,0.0
kalender,0.0
kamış,0.0
kandırmaca,0.0
kapçık,0.0
kararmış,0.0
karşıt,0.0
kavlık,0.0
kavruk,0.0
kayıtsız,0.0
kaytarıcı,0.0
kazalı,0.0
kazançsız,0.0
mümessil,0.0
mümtaz,0.0
münasebetsiz,0.0
münasebet,0.0
müsamaha,0.0
müsavat,0.0
müsayit,0.0
müsbet,0.0
müspet,0.0
müstehak,0.0
müşteri memnuniyetsiz,0.0
mütenakız,0.0
mütevazı,0.0
mütevazi,0.0
nafile,0.0
nahoş,0.0
nakletm,0.0
namert,0.0
namuslu,0.0
namüsait,0.0
nar gibi,0.0
nasfet,0.0
natürel,0.0
nazikane,0.0
nefaset,0.0
nerede kal,0.0
nereden gel,0.0
nerden get,0.0
nereden get,0.0
neticesiz,0.0
nezafet,0.0
nezaketsiz,0.0
nezih,0.0
nişasta,0.0
niteliksiz,0.0
noksan,0.0
objektif,0.0
olgunlaşmam,0.0
onursuz,0.0
oparatör,0.0
optimal,0.0
optimist,0.0
orospu çocuğu,0.0
orospuçocuğu,0.0
oranlı,0.0
orantılı,0.0
ordövr,0.0
oryantasyon,0.0
otomatik ulaş,0.0
otorite,0.0
ömrüne bereket,0.0
önemsemem,0.0
önemsiz,0.0
örgütle,0.0
övgüye değer,0.0
övgüye layık,0.0
özbeöz,0.0
özenm,0.0
paklık,0.0
pak,0.0
para eksik,0.0
para yetm,0.0
parçalanm,0.0
pasaklı,0.0
payekart,0.0
paykart,0.0
paylam,0.0
pelte,0.0
periyot,0.0
personel ilgisiz,0.0
peryot,0.0
pesimist,0.0
pespaye,0.0
pizzasipariş,0.0
porsuk,0.0
porsumuş,0.0
posalı,0.0
pörsük,0.0
pörtlem,0.0
promasyon,0.0
promasyon,0.0
pürüz,0.0
rağbet,0.0
rast gele,0.0
ras gele,0.0
refah,0.0
ret,0.0
revizyon,0.0
robotlaş,0.0
safsata,0.0
sağduyu,0.0
sahici,0.0
sakatat,0.0
sallapati,0.0
tikıt,0.0
tiksinç,0.0
tolorans,0.0
tortulu,0.0
tozlaşmış,0.0
töhmet,0.0
tutarsız,0.0
tüketem,0.0
ufalanmış,0.0
umursamayan,0.0
umursuz,0.0
uslüp,0.0
uyarıcı,0.0
uygun konum,0.0
uygun lokasyon,0.0
uygun mekan,0.0
uygun yer,0.0
uymayan,0.0
uysal,0.0
uyumsuz,0.0
uyuşuk,0.0
ücra,0.0
üretken,0.0
üstü bol,0.0
üstü boş,0.0
üstünkörü,0.0
vah tüh,0.0
vakar,0.0
vazife,0.0
velinimet,0.0
vurdum duy,0.0
vurdumduy,0.0
walet uygula,0.0
wallet uygulaması,0.0
web sayfa,0.0
yabani,0.0
yağı çok,0.0
yaka,0.0
yakışıksız,0.0
yalancıktan,0.0
yalapşalap,0.0
yanlış ürün,0.0
yansız,0.0
yararsız,0.0
yaraşır,0.0
yaraşmayan,0.0
yarayan,0.0
yarayış,0.0
yavan,0.0
yeğl,0.0
yersiz,0.0
yetki,0.0
yetti yahu,0.0
yılışık,0.0
yıpranmış,0.0
yırtılmış,0.0
yozlaşmış,0.0
yöntemsiz,0.0
yuh artık,0.0
yumuşamış,0.0
yüzeysel,0.0
zamansız,0.0
zarafet ,0.0
zararsız,0.0
zarif,0.0
zerafet,0.0
zevk ver,0.0
zırva,0.0
ziyade,0.0
içim,
pişman,
yanlı,
