Dokuman_Numarasi,Tweet_Metni,Gercek_Duygu_Sinifi,Gercek_Urunhiz_Sinifi
D5780,haftasonu geldi çattı samsunlu önemi kat kat büyük olan pide hazırlıklar yapılacaktır yapma,0,2
D5781,haftasonu geldi çattı samsunlu önemi kat kat büyük olan pide hazırlıklar yapılacaktır yapma evdekal evden çıkma  gerekirse kıymayı farklı şekilde evde değerlendir dışardan sipariş verme sağlığın sağlığımız evdekalsamsun,0,2
D5782,türkiye yasak olsa allah dediği olur derler kişi cenaze kaldırır köydekiler gelsin 2 gün merhum bekletilir ilkel iş varsa yapılır pide ayran sipariş edilir gelenler doysun cenaze kalabalık olsun çok seveni varmış densin ,1,2
D5783,dilerseniz sabah kapıcıdan sipariş pide fırınına giderek durumu yerinde görün uyarı olaya kalıcı çözüm getirin saygılar efendim ,0,0
D5784,sipariş ettiğiniz ürünlerin ambalajlarına kuryeler dokunuyor günde onlarca kişiyleliraalışverişi evde lahmacun pizza yapabilirsiniz yaş pasta yapabilirsiniz kurye eve getirdikten içeri almadan çamaşır suyu konulmuş kovada elinizde eldiven ile,0,0
D5785,lahmacun sipariş ediyon sanki,2,2
D5786,harbiden adana kokoreç lahmacun yemek istiyom az çorba içli köfte istiyom  (eve sipariş riskini alamam,0,2
D5787,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5788,öğrenci dostlarım lahmacun siparis verimmi size,2,2
D5789,lanet olsun dışarıdan hiçbir şey sipariş veremiyorum annem sayesinde hamburger lahmacun suşiii,0,2
D5790,lahmacun sipariş edemiyorum,0,2
D5791,dün akşam adana ocakbaşını aradım lahmacun isteyeceğim telefon açıldı alo konum çıktı mı yok konumi verdim peki sipariş vereyim mi yok abi bekçiyim lokanta kapalı gönderemezler,2,2
D5792,aileme sushi yedirdim yiyemedi ettiler ahsahhsh,0,1
D5793,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5794,sabahin korunde evin ici lahmacun kokuyo geldi aklima geceleri benden habersiz siparis mi veriliyo anlamiyorum ki,2,2
D5795,sen telefon sipariş versiyonda kitlemiyorlarda kızcağız verince kiliyorlar,0,0
D5796,grafik mrafik şeyetmiyon edemiyoruz,0,2
D5797,rüyaya sipariş verebiliyorsan 3 adet lahmacun ilave edebilir miyiz he 2 dürüm ad,2,2
D5798,şimdi evine 700 adet edeyim gör sen,2,2
D5799,aga be sinifca etmemiz peki unutamiyorum mükemmeldi,1,2
D5800,aga be sinifca etmemiz peki unutamiyorum mükemmeldi,0,0
D5801,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5802,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5803,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5804,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5805,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5806,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5807,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5808,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5809,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5810,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5811,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5812,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5813,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5814,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5815,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5816,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5817,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5818,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5819,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5820,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5821,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5822,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5823,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5824,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5825,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5826,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5827,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5828,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5829,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5830,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5831,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor,0,2
D5832,sevindim pizza italyada yenir diyen kokoş kemirecek lahmacun bulamıyor noodlesiz yaşıyamam diyen öküz makarna gömüyor fotoğraf çekmek kahvaltı tabağını siparis eden mal anasının evindeki yer sofrasını instegrama atmıyor evde kalmak accuk olsa özümüze döndürdü,0,2
D5833,biz lahmacun muhabbeti yaptık zor engel oldum sipariş vermesine,2,2
D5834,canim lahmacun cekti cok fena disaridan siparis vermek cok tehlikeli dayanicaz artik,1,2
D5835,yorumlarda elemanın biriyle birbirimize girdik ver lan konumini verdi çiğ köfte lahmacun kebap suşi çiçekçi bulduysam evine 500lira sipariş verdim bizde delikanlıyız işte,2,2
D5836,rüyamda ebru gündeşle okuluma basket turnuvasına gidiyorduk basket atamıyordum asistim çoktu maçtan 50 lahmacun 4 bazlama sipariş verdik zafer gazoz içtim gün balığa çıkalım sözleştik dayımla çalıştığımız müşterimi gördüm,2,2
D5837,canım lahmacun çekti lanet corona dışardan sipariş veremeyeceğim oturdum yaptım afiyetle yiyorum coronaya savaş açtım,0,2
D5839,evde can sıkıntısından lahmacun yaptım sipariş vermek isteyenler dm,2,2
D5840,gelirken lahmacun getirsin istersen sipariş veriyor 5 dakika,0,0
D5841,dizi izliyordum adam güzel lahmacun yedi kahvaltı yapmadan verdim,1,2
D5842,corona dışardan etmeye korkuyorum,0,0
D5843,boş yapma ver eve,2,2
D5844,neredeyse edecek az kaldı,2,2
D5845,lannn yarına sipariş veriyorlar lahmacun yapacakmışım benimki ergende değil yetemiyorum yapmalara,2,2
D5846,ben saclari cok guzel olmus dur soyliyim beynim sakin yazma cok gu beynim  salak misin bagsiklik sistemim kicem yapacaginiz isi ortalikta korona midem reis lahmacun yesek sonuç edildi,1,2
D5848,canım pizza çekiyo  hamburger çekiyo lahmacun çekiyo tantuni çekiyo sipariş veriyorum ulan usta corona kara kara düşünüyorum 10 dakikalık zevk corona olucam,0,0
D5849,şu an ülkede alo 184 arayıp lahmacun kebap sipariş eden insanlar olduğuna yemin edebilirim kanıtlayamam,2,2
D5850,anneler etsek derim açarım hamur kıyma der fsdasdfdf,2,2
D5851,scofield saint helena adasındaki kaygısızlar veren sen,2,2
D5852,masadan sipariş topladıktan ustaya dönüp 6 lahmacun 1 acılı diyen garsonlar misali fast food zinciri saglik bakanligi rio karnavali belli degil adam gibi test yapılıp net rakamlar açıklanmadığı sürece vatandaş olayın vahametini anlayamayacak,0,2
D5853,keşke virüs gelmeden son kez hamburger yeseydim canım deli gibi hamburger çekti sipariş etmeme izin vermiyorlar evdekiler bıçak kemiğe dayandı,1,2
D5854,eve siparis veremiyorum canim pizza cekti hamburger cekti anlatamam,1,2
D5855,annem akşama verebilirsin telefonını atınca mutlu oluyorum ben,1,2
D5856,bufeden hamburger siparis ettim hamburger koftesini dörde kesip uzun sandvic ekmegine sigdirmislar birader hasta,0,1
D5857,sağlıklı yemek yapabiliyorum ablam zayıf sürekli abur cubur alıyo bugün ettik yemeyelim deyince yeme yicem diyo üzülüyorum azından abur cubur yemeyeyim diyorum spora alışsak boşa gitmesin yemeyiz herhalde,0,1
D5858,yeğenim hamburger yapmış jdjdjdj sipariş alınır,2,2
D5859,canım hamburger istedi yemiyo sipariş hüüüüü,0,2
D5861,hamburger aşeriyorum sipariş veremiyorum,0,2
D5862,seni biliyoruz kızım git yemek sepetinden ett,2,2
D5863,canım çok pis hamburger çekti sipariş vermeme izin verilmedi evde gidip malzemelerini aldım geldim kıvırcık aldım hamburger yapcam şimdi gelin,0,2
D5864,benim canım hamburger çekiyor çalışanı kendimi düşündüğümden haftalardır sipariş vermiyorum hamburger zaafımı bilen bilir  ,0,2
D5865,hamburger sipariş ettim yiyerek ders dinlicem mis ebatv,1,2
D5866,dedi yemeksepeti verdi,2,2
D5867,dedem ettirttim afiyetle yedik teşekkürler,1,2
D5868,hamburger sipariş istiyorum yok,0,0
D5869,burger sipariş ettim hamburger kolonya kokuyodu coronavirus,0,1
D5870,annemin yaptığı yemeyi yemeyip ettim şuan annem benimle konuşmuyor,1,2
D5871,ben hamburger yemeği özledim  dürüm sipariş vermek istiyorum bunlarla beraber spor salonuna gitmeyi özledim allahımmmm corona Pazar,1,2
D5872,canim hamburger cekiyor siparis etsem ustune oksurup getirebilirler,0,0
D5873,çko kötü yaptım verdim ağzıma sıçıyım kendimin tmm,0,2
D5874,karantina 7 gün sağlıklı beslenmekten midem bulanmaya başladı canım hamburger istiyor döner istiyor sushi istiyor  sinirlerim baya gergin  karantina kitaplarım maalesef bitti gibi okumaktan başım ağrıyor yenilerini sipariş ettim,1,2
D5875,engel olamadım kendime hamburger siparis ettim,1,2
D5877,hamburger çekti canım kebap sipariş ettik welcome to kayseri amk,1,2
D5878,burger king kapanmadan hamburger siparis ediyim bari uzun zaman yiyemicez gibi,0,2
D5884,hiym 1 bölümde hamburger yedikleri ettim teşekkürler marshall,1,2
D5885,açlıktan ölüyorum buçuk dakikatir youtube yemek tarifi videoları izliyorum midem kazındı yemin ederim canım hamburger tavuk çekti corona sipariş edemem aşırı mutsuzum,0,2
D5886,disardan islak hamburger siparis ettim basim donuo corona kaptim kesin haterlarim cenazemde djlik yapabilir,2,2
D5887,eve edemiyorum mcdonalds,0,2
D5888,hamburger yemek istiyorum artik kafayi yiycem 6 gundur disardan siparis etmedim hic etsem    ,0,2
D5889,kısa zamanda oradan sipariş vereceğim hamburger cim  ,1,2
D5890,canım aşırı hamburger çekiyo sabah olsun sipariş edeyimmmm,1,2
D5891,arkadaşlar biliyorum eve tavuk edebileceğimi riskli iş,0,0
D5893,boğa burcunun şey sikinde değil amına koyim sevdiği kıza libodosu düşük olurda yerin dibine girer inşallah yemek yemeden duramıyor burç döner siparişi bediğinde inşallah yanlış sipariş gelirde 4 dakika aç kalır bayılır sinirleri tepesine,0,2
D5894,arkadaşlarla açıktık verdik orospu çocuğu olsaydık kemirken yerdik hantavirus,0,2
D5895,arkadaşlarla açıktık verdik orospu çocuğu olsaydık kemirken yerdik hantavirus,0,2
D5896,gerçekten adeta numune kötü sipariş gibi bol mayonezli bol turşulu bol acılı tavuk döner gibi bişey,0,1
D5898,arkadaşlar inanmicaksiniz edebilirsiniz döner döner ağlamayın,2,2
D5899,arkadaşlar inanmicaksiniz edebilirsiniz döner döner ağlamayın,2,2
D5900,arkadaşlar inanmicaksiniz edebilirsiniz döner döner ağlamayın,0,0
D5901,daha yeni yemekten cocopops yediğim annem tarafından linçlendim şimdi abimle hatay usulü ettiğimizi söylicem düşünüyorum,1,2
D5902,günlük pasta börek yemek yapıyorum öğrenci evinde olsaydık döner siparis ederdik skxpdakikaxmşdakikademd,2,2
D5904,büyük firma 1400 döner siparişi vermis ulan bizden siparis etsenize,0,2
D5905,birileri üzerime tuval akrilik boya atsın sipariş veriyim diyorum haftaya anca gelir işe geri döner yapamam deyip vazgeçiyorum meğersem bağımlılık olmuş bende miniklerimle yaptigim resim kursunu çok özledim,2,2
D5906,antakya karantinadasın harbiye kebap çağlayan edemiyorsun yanımdasın dokunanamıyorum gibi şey ahdakikadj,0,2
D5907,ketçap mayonezde olsunmu amk veriyo piç,0,2
D5908,kız kardeşim yanıma gelip siyasi kitaplar sipariş edeceğim istediğin kitap siyasi kitaplar alalım diyeceğim beynin almaz külliyattan kitap çıkarıp oku desem beyin lobları ters döner işi gücü artistlik asjhagdhgs,0,2
D5909,biz az ettik tırnaklarımı yemek uğruna kıramam dlxnxnxnxb,2,2
D5910,3liraye ronaldo söylerim kalan 3lira tavuk ederim aç oynamasın kral,2,2
D5911,abimin paşa dönerden sipariş verelim mi sorusundan 4 dakika ilkez paşa döner telefon attı yeni kampanyamız şu fiyata dinliyorsunu bari gözümüze sokmayın kanka,2,2
D5913,güzel dışardan ediyoduk şimdi evde dönüp dönüp birbirimizi yiyoruz,1,2
D5914,suç dominos dan edende,0,2
D5915,hyukjae ablası veremeyince sipariş vermiş,2,2
D5916,yoongi açmış edin geç kaldı ,2,2
D5918,işin güzel tarafı evde yemek yapmaya alışmak oldu  müddet sipariş vermem,0,2
D5919,aklıma yemek sepetinden sipariş verirken malzeme seçmediğim 40 liraya yurtta ağlayarak peynirli pide yediğim geldi bak yine,2,2
D5920,aklıma geldi gece gece 16 sene babama pizza siparis edelimmi tabi ozamanlar bukadar yaygın degildi disardan yemek babam saolsun kırmadı  pizzacıya faslı helal olsun olursa olsun adam kutu karidesli pizza yollamisti,1,2
D5921,derdi gibi normalde öğününü yemeksepetinden söyleyen sabit müşterilerini geri kazanmak evde yemek yapmaya başladım karantina sonrası öğünümü sipariş etmeye devam eder miyim emin değilim arada görüşürüz,2,2
D5922,aile evinde eve sipariş verebilen gerçekten ev dışında hiçbir yerden yemek yiyemez hale geldik anam yüzünden,1,2
D5923,fast food yemek istiyorum yeter dayanamicam su sey bitsin is yemekseptine girip siparis vermek olucak,1,2
D5924,pilates seti tarti siparis verdim gelene full yemek yatis,1,2
D5925,arkadaşlar şu kargodur  ptt yemek siparişidir  getir siparişidir işlerini bıraksak  evde otururken sipariş getiren kargo getiren insanları düşünmüyorsunuz,1,0
D5927,dedim evde olsun okuyacaģımdan deģil bilirim kendimi bakar atarm kenara kız sipariş vermiş geldi geçen rujumu sürüp öptüm kaldtdm bugün bakaym başndaym öldü yemek tarifleri bidünya,0,2
D5928,hala dışarıdan edenler varmış yürek mi sipariş ediyosunuz canlar,0,2
D5929,aslında stresliyim biliyor boğazımda ağrı hissediyorum gündür olayın başlangıcından beri karantinadayım sayılır  geçtiğimiz hafta çok fazla dışarıdan ettim hastalandıysam sebebi büyük ihtimalle olacak ,0,2
D5930,uzaktayken düşünüp migüzel kalbinden öpüyorum,1,2
D5931,yemek sepeti kapalı canın çekiyosa sipariş ver laf yabma,2,2
D5932,yemek sipariş sakıncalı,2,2
D5933,çok sıkıldım gidip yemek sepetinden sipariş verip birşeyler yiyim barii,1,2
D5934,ben yurtta kalıp yemek sepetinden sipariş verdiğim günlere dönmek istiyorum,1,2
D5935,peee vermişsiniz,2,2
D5936,yemek sipariş ederken birinin gelip harbi esmer bombasın haa demesi çocuğu linçlemesi,2,2
D5937,siz kargoculara vermediniz diyeceginize doktor zaman kargo siparisiyle ugrasiyor sorun kargocular gunde kac yere girip cikiyor doktorlarin hastaya verdigi ilaci getiriyor kargocular insan degilmi fatih bey yemek icmek sipariş versin,0,0
D5938,bu süreçte dışardan edebilen yaşamak nasipse önümüzdeki 5 sene dışardan bişey yiyebilecegimi avmye gidebilecegimi sanmiyorum,0,2
D5939,dışardan edip hayatta kalan var,0,2
D5940,mümkün olduğunca keyfi yemek siparişi vermeyin arkadaşlar sipariş vermiştim geçen hafta kuryenin gözündeki korkuyu görünce kendimi suçlu hissettim gerçi durumda dükkân sahipleri geçinecek şey saçmalık,0,0
D5941,yemek parası aldım icinden yemek siparis ettim,2,2
D5943,peee vermişsiniz,2,2
D5944,yemin ederim ettiğimde oluyorum,2,2
D5945,yemek siparis gadar özledim bilsen,1,2
D5946,ulan bekar lik zor yemek yeme yerleri kapatıldı sipariş almıyor makarna pizza yemekten kafayı yiycez,0,2
D5947,yemek sepetinden sipariş verdim abi defasında tembih ediyo abicim puanlamayı unutma biliyosun rakiplerimiz bol hannyy xd,0,0
D5948,dakika 6dan beri yemek-namaz hariç tam defadır izlediğim şeyi bırakıp seslenen annemin yanına gittim rahat rahat izlerim derken yanıma geldi kanaviçe işleyelim sipariş verelim diyo oralı olmayınca çocuklar olan figürleri açtı,2,2
D5949,yemek siparis gadar özledim bilsen,1,2
D5950,tam orosbu cocugu gibi keyfi online alis veris yapiyorsunuz yemek siparis veriyorsunuz  cunku dunyanin onemli insani sizsiniz,0,2
D5951,karantina çok yaramadı gün camımın oturup yemek yiyorum az internetten dürbün,0,2
D5952,şüpheduymuyorum biliyom cok zor hayal iste börek çörek kek şeyler yapıp sağlık çalışanlar hasadet kapılarından verse ülke halkım askerimize yapıldığı gibi yemek gondermiyormus siparişkonumyerler su an savasiyo bizler için,0,0
D5953,oturup kalkıp yemek yediğimiz donemde olmayacak is yaptım şundan sipariş ettim hayırlısı,0,2
D5954,çalışanın yemek siparişi vermesi köşedeki çiğ köfteciden almayıp sipariş vermem dağlar fark sarinle beraber kitap listesi yapmıştık  durumlar olunca siparişi durdurduk  siparişi getirenin kronik hastalığı olabilir değerli değilim,0,2
D5955,yaw insanların ihtiyaçları giderilsin çalışmaya razı geliyoruz çok az zorunda kaldım getirecek olan kişi gibi mesela çalışmasam binlerce insan susuz kalacak hanfendininki gibi edepsizlikleri kaldıramıyorum,0,0
D5956,bu kargolamak fincan takımlarının altları kırık yemek takımu sipariş ettim sarmışlar tek hasarı yok o dandik şeylerle sarmışsınız parça parça olmuş şimdi işin tek tek kodlarını yaz iade et  kargoyu ara bekle,0,0
D5957,yemek sipariş edip söylediğimi unuttum heyecanla bekliyorum şaşı geçmişteki ben,2,2
D5958,arkadaşlar kafayı yemek istiyosanız puzzle sipariş edin teşekkürler iyi günler,2,2
D5959,arada evimizin 100 metre ötesinde yemek sepeti şubesi 15 18 adet kurye yemekleri ortalama 1 5 dakikate getirdikleri son zaman sipariş verdim hatırlamıyorum bile,0,0
D5960,evimin karşısındaki yerden yemek sepetinden sipariş verdim arayıp dediler ablacım keşke arasaydın eheheh komik değil konuşma kabiliyeti kaldı insanda duvarlarla bakışa bakışa,0,0
D5961,karantina çok yaramadı gün camımın oturup yemek yiyorum az internetten dürbün sipariş ettim sihirli annemde avni gibi milleti dürbünlerim buradan artık,0,2
D5962,01 yurtta kalıp yemek sepetinden sipariş verdiğim günlere dönmek istiyorum nolur döneyim,1,2
D5963,adam restorandan yemek siparis ederken yanina tuvalet kagidi bulamiyorum notu yazmis sonuc,2,2
D5964,halen dışardan yemek söyleyen tayfa internet üstünden yapılan sipariş çalışan insanı riske atmak demektir,0,0
D5965,kadının muhtemelen varlıklı ailenin çok ortalarda dolaşması istenmeyen çocuğu olduğunu düşünürdüm  3 öğün kapı çalıyor sipariş etmeden kurye içeceğine tatlısına yemek geliyordu,2,2
D5966,ben yurtta kalıp yemek sepetinden sipariş verdiğim günlere dönmek istiyorum  nolur döneyim,1,2
D5967,bunların tedarik zincirinden market depo lojistik limanlar gümrük çalışanları ihracat zerre haberi,0,0
D5968,evinde sipariş veriyorsun getiriyor kurye bakkala manava sipariş veriyorsun getiriyor çırak ilaç almayacak ısın acıkınca yemek yemeyecekmisin  kombin bozulunca tamirci çağırmayacakmısın bunları yapmayacaksın tamam,0,0
D5969,sıkıntıdan eve veriyorum nerde zaman gelecek aksiyona sokuyo yemegi beklemek heyecan yaratıyo,1,2
D5970,şehrin göbeğinde ana caddede binaya sipariş getiremeyen marketler varken evdehayatvar evdekalturkiye eve yemek söyleme lüksünün peşinde değiliz süt yumurta istiyoruz,0,0
D5971,bugün 2 kez yemek siparişi verdim ikisinde sipariş iptal oldu dediler şansımı seveyim,0,0
D5972,sağlıklı yemek yapmaktan sıkıldım dışarıdan sağlıksız yağlı sipariş vermek istiyorum,1,1
D5973,şey aşırı saçma mallık değil eve sipariş getiren restoranlar müşteri temas kurmadan yemeği kapıya bırakıyor corona korunmuş oluyoruz devirde dışardan yemek söyleyip corona'ya çok dikkatliyim diyen varsa gitsin ölsün,0,0
D5975,yiyecek şey bulamadiğim zaman yemek sepetinden sipariş veriyorum,2,2
D5976,ajans başkanlarına yemek tavsiyesi acıkınca stajyerleri vermek kullanın,2,2
D5977,karantina günlerinde yere yemek götürüp hasadetnin önünden alırız dememize sipariş getirmeyen firmalar,0,2
D5978,yemek sepetinden sipariş ver kuryeyede dızzo gibi konuş rahatlarsın,1,0
D5979,yemek sepetinden sipariş ver kuryeyede dızzo gibi konuş rahatlarsın,1,0
D5980,ajans başkanlarına yemek tavsiyesi acıkınca stajyerleri vermek kullanın,2,2
D5981,öğrenci evindeyken dakikalerde yemeksepetinden sipariş veriyordum güzel şimdi peynir ekmek yemek buzdolabına baktım peynir kalmamış lan ağlıycam yemin ederim çin komünist partisi annene çakayım senin,0,2
D5982,birde zümre ucuz marketlerden alışveriş yapmam diyen tipler hazır iyide yemeklerin hepsinin malzemesi ucuz dediğin merketlerden alınıyor kaşar eridimi ister kilosu 100lira olsun ister 20lira erir,0,1
D5983,ajans başkanlarına yemek tavsiyesi acıkınca stajyerleri vermek kullanın,2,2
D5984,yemek sepetindeki şeyi sipariş istiyorum,1,2
D5985,dayanamadım gecenin dakikainde ettim dur desin gidişle eve sığamıyacam,1,2
D5986,ay deme benzerini yaşadım arkadaşlarımın yanına gitmiştim kastamonuya sipariş ettim abartı yemek gibi gelmişti anlatılınca bol tereyağlı tadı iyiydi arkadaşımınkine çökmemek zor tuttum kendimi sırrı dhfhfj,1,1
D5987,küçük yarin sabah sipariş alip yemek hazirlarken büyük sabah problemini çözer ödül kahvaltilarini hazirlarim yalniz evde nutella kalmadi,1,2
D5988,depresyona girip zayıflıyosunuz amk depresyondan çıkana dakika başı ediyodum,0,2
D5989,yemek sepetinden siparis vermeyi ozledim,1,2
D5990,aklıma bambam lokantada sürünerek etmesi geldi lahxkahkxahkdjd gün boyu ingilizce konuşmuştu,2,2
D5991,yemek sepetinden yemek siparisi verdim siparis elden degil kapıya asılarak teslim edilsin ibaresini seçtim kuryeci zili calmis asansörün icinden pizzayı uzatıyo,0,0
D5992,yemek sepetinden temassız teslimat şeklinde sipariş verdim kapıya asıp gidiyolar paranoyak gibi sürekli kapıyı açıp kontrol ediyorum deliriyorum yavaştan,0,0
D5993,az mutfağa girdim tur attım ettim mutfak sevdam dün başlamış bitmiş,2,2
D5994,rahat rahat dışardan istiyorum,1,2
D5995,bunların tedarik zincirinden market depo lojistik limanlar gümrük çalışanları ihracat zerre haberi olmadığı çalışanlar sayesinde evde hapur hupur yemek yediklerini netten sipariş verdiklerini bilmedikleri sokağa çıkma yasağının olduğunu anlamamaları normal,0,2
D5996,yemekler pişerken ısıya maruz kalıyor normal vatandaşlar dışardan iş yerlerininde yemek tedarikçisi sağlık konusunda mahkumlar hasadetye gidiyor evet dışardayken içerdeyken hasadetye gidecek farkı temizlik derken neyin temizliği,2,2
D5998,bugün değişiklik yapıp 4lü koltukta değil 3lü koltukta yatarak izliyorum dizimi yemek yapmaktan çok yorulup dışarıdan,2,2
D5999,eve yemek siparis et siparis notunda sigara ist,2,2
D6000,mili micron virüs sağlıklı beslenmeyi dışarıdan etmemeyi öğretti içelim bakalım sebze çorbamızı,0,1
D6001,evde kapalısın uzaktan vereceksin uzaktan sağlık hizmeti alacaksın uzaktan eğitim hizmeti alacaksın uzaktan çalışacaksın uzaktan sevdiklerin görüşeceksin evden çıkmayacaksın gelecek olacak,0,2
D6002,nevzat bey merhaba sormak istiyorum salgın döneminde personelinizin işine son verdiniz sorma sebebim şirketinde yazılımcıydım 27 cuma günü işime son verildi sizce salgın bahane olmalı,0,0
D6003,bok böceği yen desem sipariş geçecek adam gelmiş yemek dersi veriyor,0,0
D6004,yemek sepeti üyeliğim yok  sipariş kargo işim olmaz herzaman işleri halleden birileriyle yaşadım yapalım bakalım alışveriş,0,2
D6005,deli gibi hamburger çıtır patates soğan halkası yemek istiyorum sipariş vermekten çekiniyorum öfff,0,2
D6006,bok böceği yen desem sipariş geçecek adam gelmiş yemek dersi veriyor,0,0
D6007,hadi sevgilimle edin finansalköle,2,2
D6008,hatta gün cüzdanımı evde unutmuşum yanımda param yok okulda yeniyim kimseden isteyemiyorum  öğle veriyorlar soruyorlar yok tokum diyorum️ev arkadaşım aradım param yok gelip okuldan alır dedim,0,2
D6009,bugün değişiklik yapıp 4lü koltukta değil 3lü koltukta yatarak izliyorum dizimi yemek yapmaktan çok yorulup dışarıdan,2,2
D6010,bugün değişiklik yapıp 4lü koltukta değil 3lü koltukta yatarak izliyorum dizimi yemek yapmaktan çok yorulup dışardan sipariş verdim arada hava almam lazım diyip balkona çıkıyorum,2,2
D6011,evde kalıp hobiye kitap okumaya vakti olanlar şanslıymış edebilmek büyük lütufmuş çamaşır bulaşık makinası dünyanın büyük icatlarındanmış kaygılanmak boş gerekliymiş,1,2
D6012,birilerinin gönlü hoş olsun yaşlı kargo görevlileri konumlarda amca boğazından lokma yemek geçsin konumta ölsün güzel kıyafetlerimizle yaşamaya devam mı edelim ilaç gıda dışında verilen sipariş birini ölüme yaklaştırmaktır bence ,0,0
D6013,yemek sepetine çiğköfte sipariş vermek girdim 25lira siparişe 15lira indirim kuponu verdi bugüne özel yarım kilo çiğköfte ekstra menüye 10lira ödedim umarım kapıya gelince 1 nisan olduğunu söylemezler,1,1
